player_name,player_position,height,nationality,date_of_birth,weight
Jan Mlakar,Forward,183cm,Slovenia,23/10/1998,
JÃ¼rgen Locadia,Forward,187cm,Netherlands,07/11/1993,
Connor Ronan,Midfielder,178cm,Ireland,06/03/1998,
Virgil van Dijk,Defender,193cm,Netherlands,08/07/1991,92
Steven Sessegnon,Defender,175cm,England,18/05/2000,
Salah-Eddine Oulad M'hand,Midfielder,,Netherlands,20/08/2003,
Timm Klose,Defender,193cm,Switzerland,09/05/1988,
Ibrahim Meite,Forward,188cm,England,29/07/1996,
Giovani Lo Celso,Midfielder,177cm,Argentina,09/04/1996,
Thomas Clayton,Defender,,Scotland,27/12/2000,
Scott Hogan,Forward,180cm,Ireland,13/04/1992,
Carl Jenkinson,Defender,185cm,England,08/02/1992,
Ravel Morrison,Midfielder,175cm,Jamaica,02/02/1993,
Jaime Alvarado,Midfielder,179cm,Colombia,26/07/1999,
Nahki Wells,Forward,170cm,Bermuda,01/06/1990,
Will Ferry,Midfielder,176cm,Ireland,07/12/2000,
Yannick Bolasie,Forward,188cm,DR Congo,24/05/1989,
Ben Jackson,Defender,,England,22/02/2001,
Stephan Lichtsteiner,Defender,182cm,Switzerland,16/01/1984,
JoÃ£o Moutinho,Midfielder,170cm,Portugal,08/09/1986,61
Shola Shoretire,Forward,170cm,England,02/02/2004,
Jakub Moder,Midfielder,188cm,Poland,07/04/1999,78
James Morris,Defender,,England,23/11/2001,
Dwight Gayle,Forward,174cm,England,17/10/1989,78
Fousseni DiabatÃ©,Forward,175cm,Mali,18/10/1995,
Leroy SanÃ©,Forward,183cm,Germany,11/01/1996,
Alex Smithies,Goalkeeper,185cm,England,05/03/1990,
Mark Bunn,Goalkeeper,183cm,England,16/11/1984,
Ã˜rjan Nyland,Goalkeeper,192cm,Norway,10/09/1990,
William Fish,Defender,185cm,England,17/02/2003,
James Daly,Forward,,England,12/01/2000,
Jonny,Defender,175cm,Spain,03/03/1994,70
Kieran Tierney,Defender,178cm,Scotland,05/06/1997,70
Lewis Richardson,Forward,,England,07/02/2003,
Luke McCormick,Midfielder,,England,21/01/1999,
Dilan Markanday,Forward,,England,20/08/2001,
Mohamed Elyounoussi,Midfielder,178cm,Norway,04/08/1994,70
Emerson Hyndman,Midfielder,170cm,United States,09/04/1996,
Mason Greenwood,Forward,181cm,England,01/10/2001,70
Myles Peart-Harris,Midfielder,,England,18/09/2002,
Sam Baldock,Forward,170cm,England,15/03/1989,
Joel Valencia,Forward,164cm,Ecuador,16/11/1994,
FrÃ©dÃ©ric Guilbert,Defender,178cm,France,24/12/1994,
Jadon Sancho,Forward,180cm,England,25/03/2000,76
Samuel Sharrock-Peplow,Midfielder,,England,14/07/2002,
Darren Randolph,Goalkeeper,188cm,Ireland,12/05/1987,98
CÃ©sar Azpilicueta,Defender,178cm,Spain,28/08/1989,76
Kane O'Connor,Defender,,Scotland,17/01/2001,
Jacob Ramsey,Midfielder,,England,28/05/2001,
Mohamed Elneny,Midfielder,180cm,Egypt,11/07/1992,70
Filip Marschall,Goalkeeper,,England,24/04/2003,
Josh Oluwayemi,Goalkeeper,,England,13/03/2001,
Gonzalo HiguaÃ­n,Forward,186cm,Argentina,10/12/1987,
Sead Kolasinac,Defender,183cm,Bosnia & Herzegovina,20/06/1993,
Jean-Philippe Mateta,Forward,192cm,France,28/06/1997,88
David Ospina,Goalkeeper,183cm,Colombia,31/08/1988,
Cameron Archer,Forward,,England,09/12/2001,
Nathan Bishop,Goalkeeper,185cm,England,15/10/1999,
Xherdan Shaqiri,Midfielder,169cm,Switzerland,10/10/1991,
Chiquinho,Forward,179cm,Portugal,05/02/2000,73
Michael Verrips,Goalkeeper,195cm,Netherlands,03/12/1996,
Aaron Ramsey,Midfielder,,England,21/01/2003,
Damien Delaney,Defender,191cm,Ireland,20/07/1981,
Largie Ramazani,Forward,167cm,Belgium,27/02/2001,
Javier Manquillo,Defender,178cm,Spain,05/05/1994,76
William Smallbone,Midfielder,,Ireland,21/02/2000,
Calvin Bassey,Defender,185cm,Nigeria,31/12/1999,
Andrew Omobamidele,Defender,188cm,Ireland,23/06/2002,
Roberto Firmino,Forward,181cm,Brazil,02/10/1991,76
Alex Telles,Defender,181cm,Brazil,15/12/1992,71
Carlos VinÃ­cius,Forward,190cm,Brazil,25/03/1995,
Jubril Okedina,Defender,,England,26/10/2000,
Max Sanders,Midfielder,175cm,England,04/01/1999,
Philippe Sandler,Defender,188cm,Netherlands,10/02/1997,
Aiden O'Neill,Midfielder,178cm,Australia,04/07/1998,
Jorginho,Midfielder,180cm,Italy,20/12/1991,65
Bryce Hosannah,Defender,,England,08/04/1999,
Illan Meslier,Goalkeeper,193cm,France,02/03/2000,74
Owen Bailey,Defender,,England,22/01/1999,
Miguel Britos,Defender,188cm,Uruguay,17/07/1985,
Joseph Hungbo,Midfielder,,England,15/01/2000,
Neco Williams,Defender,183cm,Wales,13/04/2001,
Deniz Undav,Forward,179cm,Germany,19/07/1996,
Joel Pereira,Goalkeeper,188cm,Portugal,28/06/1996,
Ignacio Pussetto,Forward,180cm,Argentina,21/12/1995,74
Lewis Dobbin,Forward,,England,03/01/2003,
Adalberto PeÃ±aranda,Forward,185cm,Venezuela,31/05/1997,
Matthew Pennington,Defender,185cm,England,06/10/1994,
Sadio ManÃ©,Forward,175cm,Senegal,10/04/1992,69
Anthony Martial,Forward,181cm,France,05/12/1995,
Nathan AkÃ©,Defender,180cm,Netherlands,18/02/1995,75
Jon Stankovic,Defender,190cm,Slovenia,14/01/1996,
Aaron Ramsey,Midfielder,178cm,Wales,26/12/1990,
Martin Kelly,Defender,191cm,England,27/04/1990,77
John Lundstram,Midfielder,181cm,England,18/02/1994,
Pierre Lees-Melou,Midfielder,185cm,France,25/05/1993,69
Maxime Le Marchand,Defender,185cm,France,11/10/1989,
Neal Maupay,Forward,173cm,France,14/08/1996,69
Aleix GarcÃ­a,Midfielder,173cm,Spain,28/06/1997,
Aaron Wan-Bissaka,Defender,183cm,England,26/11/1997,72
Nathaniel Mendez-Laing,Midfielder,180cm,England,15/04/1992,
Josh Pask,Defender,187cm,England,01/11/1997,
Granit Xhaka,Midfielder,185cm,Switzerland,27/09/1992,82
Melkamu Frauendorf,Midfielder,,Germany,12/01/2004,
Warren O'Hora,Defender,,Ireland,19/04/1999,
Daniel Grimshaw,Goalkeeper,185cm,England,16/01/1998,
Rajiv van La Parra,Midfielder,181cm,Netherlands,04/06/1991,
Magnus Norman,Goalkeeper,192cm,England,19/01/1997,
Brandon Pierrick,Forward,182cm,England,10/12/2001,
Luke Shaw,Defender,185cm,England,12/07/1995,75
Max Lowe,Defender,175cm,England,11/05/1997,
Rhian Brewster,Forward,180cm,England,01/04/2000,
Austin Samuels,Forward,,England,20/11/2000,
Albert Adomah,Midfielder,185cm,Ghana,13/12/1987,
Isaac Price,Forward,,Northern Ireland,26/09/2003,
Idrissa Gueye,Midfielder,174cm,Senegal,26/09/1989,
Ibrahima CissÃ©,Midfielder,184cm,Guinea,28/02/1994,
Stephen Ward,Defender,184cm,Ireland,20/08/1985,
Adama TraorÃ©,Forward,178cm,Spain,25/01/1996,
Cole Palmer,Midfielder,,England,06/05/2002,
Jack Robinson,Defender,168cm,England,01/09/1993,
Joseph McGlynn,Forward,,Scotland,27/09/2002,
Alisson,Goalkeeper,191cm,Brazil,02/10/1992,91
Eric Bailly,Defender,187cm,Cote Dâ€™Ivoire,12/04/1994,77
RaphaÃ«l Varane,Defender,191cm,France,25/04/1993,81
Dusan Tadic,Forward,181cm,Serbia,20/11/1988,
Anthony Knockaert,Midfielder,172cm,France,20/11/1991,
Frank Onyeka,Midfielder,183cm,Nigeria,01/01/1998,
Jordan Stevens,Forward,178cm,England,25/03/2000,
Aaron Ramsdale,Goalkeeper,188cm,England,14/05/1998,77
Ryan Sessegnon,Midfielder,178cm,England,18/05/2000,70
Zak Swanson,Defender,,England,28/09/2000,
George Lewis,Forward,,Rwanda,16/06/2000,
Christopher Schindler,Defender,188cm,Germany,29/04/1990,
Jordan Graham,Midfielder,182cm,England,05/03/1995,
Mario Vrancic,Midfielder,187cm,Bosnia & Herzegovina,23/05/1989,
Aron Gunnarsson,Midfielder,178cm,Iceland,22/04/1989,
Charlie Savage,Midfielder,,Wales,02/05/2003,
Chris LÃ¶we,Defender,175cm,Germany,16/04/1989,
Fabinho,Midfielder,188cm,Brazil,23/10/1993,78
Tom Cairney,Midfielder,186cm,Scotland,20/01/1991,
Taylor Richards,Midfielder,180cm,England,04/12/2000,
Kamil Conteh,Midfielder,177cm,England,26/12/2002,
James Bree,Defender,172cm,England,11/12/1997,
Aaron Rowe,Forward,,England,07/09/2000,
Josh Felix-Eppiah,Forward,179cm,Belgium,11/10/1998,
Ovie Ejaria,Midfielder,183cm,England,18/11/1997,
Lewis Brunt,Midfielder,,England,06/11/2000,
Dean Whitehead,Midfielder,180cm,England,12/01/1982,
Iker Pozo,Midfielder,,Spain,06/08/2000,
Kiko Casilla,Goalkeeper,190cm,Spain,02/10/1986,
Abdelhamid Sabiri,Midfielder,186cm,Germany,28/11/1996,
Patrick Bamford,Forward,185cm,England,05/09/1993,71
Lovre Kalinic,Goalkeeper,201cm,Croatia,03/04/1990,
Mamadou Sakho,Defender,187cm,France,13/02/1990,
Scott Malone,Defender,189cm,England,25/03/1991,
Grant Hanley,Defender,187cm,Scotland,20/11/1991,81
Ben Winterbottom,Goalkeeper,,England,16/07/2001,
Marcus Forss,Forward,182cm,Finland,18/06/1999,
Caleb Watts,Midfielder,171cm,Australia,16/01/2002,
Laurent Depoitre,Forward,191cm,Belgium,07/12/1988,
Sylvain Deslandes,Defender,178cm,France,25/04/1997,
Daniel Sturridge,Forward,188cm,England,01/09/1989,
Viljami Sinisalo,Goalkeeper,,Finland,11/10/2001,
Joe Bryan,Defender,173cm,England,17/09/1993,
Pierre-Emerick Aubameyang,Forward,187cm,Gabon,18/06/1989,
Christoph Zimmermann,Defender,194cm,Germany,12/01/1993,92
Thomas O'Connor,Midfielder,,Ireland,21/04/1999,
Ken Sema,Midfielder,180cm,Sweden,30/09/1993,69
Scott Dann,Defender,188cm,England,14/02/1987,
Ben Heneghan,Defender,191cm,England,19/09/1993,
Charlie Goode,Defender,196cm,England,03/08/1995,
Ian Maatsen,Defender,167cm,Netherlands,10/03/2002,
Liam Rosenior,Defender,178cm,England,09/07/1984,
Sam Gallagher,Forward,194cm,England,15/09/1995,
Joseph Anderson,Defender,,England,06/02/2001,
Andreas Christensen,Defender,187cm,Denmark,10/04/1996,82
Miguel Azeez,Midfielder,,England,20/09/2002,
Niki MÃ¤enpÃ¤Ã¤,Goalkeeper,190cm,Finland,23/01/1985,
Alfie Whiteman,Goalkeeper,189cm,England,02/10/1998,
Harry Tyrer,Goalkeeper,,England,06/12/2001,
JesÃºs GÃ¡mez,Defender,177cm,Spain,10/04/1985,
Fraser Forster,Goalkeeper,201cm,England,17/03/1988,93
Rico Henry,Defender,170cm,England,08/07/1997,67
David Martin,Goalkeeper,185cm,England,22/01/1986,85
Jack O'Connell,Defender,190cm,England,29/03/1994,
Christian NÃ¸rgaard,Midfielder,187cm,Denmark,10/03/1994,76
Jed Steer,Goalkeeper,183cm,England,23/09/1992,
Josh Feeney,Midfielder,,England,06/05/2005,
Michal Karbownik,Defender,,Poland,13/03/2001,
Viktor Johansson,Goalkeeper,186cm,Sweden,14/09/1998,
Charlie Gilmour,Midfielder,171cm,Scotland,11/02/1999,
Dylan Levitt,Midfielder,180cm,Wales,17/11/2000,
Djibril SidibÃ©,Defender,182cm,France,29/07/1992,
Gavin Bazunu,Goalkeeper,189cm,Ireland,20/02/2002,
Nathan Shepperd,Goalkeeper,,Wales,10/09/2000,
James Justin,Defender,183cm,England,23/02/1998,80
William Saliba,Defender,192cm,France,24/03/2001,
Josh Knight,Defender,185cm,England,07/09/1997,
Finley Burns,Defender,,England,17/06/2003,
Brooklyn Genesini,Defender,,England,12/12/2001,
Jacob Murphy,Midfielder,179cm,England,24/02/1995,74
Tanguy Ndombele,Midfielder,181cm,France,28/12/1996,
Conor Hourihane,Midfielder,180cm,Ireland,02/02/1991,
Teddy Jenks,Midfielder,191cm,England,12/03/2002,
Mason Barrett,Defender,,England,24/09/1999,
Enock Mwepu,Midfielder,184cm,Zambia,01/01/1998,76
Jake Hesketh,Midfielder,168cm,England,27/03/1996,
Bjorn Hardley,Defender,,Netherlands,19/12/2002,
FlÃ¡vio CristÃ³vÃ£o,Defender,185cm,Portugal,23/05/1997,
Pepe Reina,Goalkeeper,188cm,Spain,31/08/1982,
Nabili Zoubdi Touaizi,Forward,,Morocco,01/02/2001,
Takehiro Tomiyasu,Defender,188cm,Japan,05/11/1998,70
Nathan Young-Coombes,Forward,,England,15/01/2003,
Sam Vokes,Forward,186cm,Wales,21/10/1989,
Patrick Roberts,Midfielder,168cm,England,05/02/1997,
William Osula,Forward,,Denmark,04/08/2003,
Michael Folivi,Forward,180cm,England,25/02/1998,
Shkodran Mustafi,Defender,184cm,Germany,17/04/1992,
Martin Ã˜degaard,Midfielder,178cm,Norway,17/12/1998,68
Lucas BergstrÃ¶m,Goalkeeper,,Finland,05/09/2002,
Dale Stephens,Midfielder,169cm,England,12/06/1989,71
IkÃ© Ugbo,Forward,184cm,Canada,21/09/1998,
Troy Parrott,Forward,185cm,Ireland,04/02/2002,
Islam Slimani,Forward,188cm,Algeria,18/06/1988,
Diego Llorente,Defender,186cm,Spain,16/08/1993,75
Victor LindelÃ¶f,Defender,187cm,Sweden,17/07/1994,80
Sonny Perkins,Midfielder,,England,10/02/2004,
JÃ©rÃ©mie Boga,Forward,172cm,Cote Dâ€™Ivoire,03/01/1997,
Demarai Gray,Forward,180cm,England,28/06/1996,74
Danny Drinkwater,Midfielder,178cm,England,05/03/1990,
Ondrej Duda,Midfielder,181cm,Slovakia,05/12/1994,
Vicente Iborra,Midfielder,190cm,Spain,16/01/1988,
Joe Ralls,Midfielder,183cm,England,12/10/1993,
Oskar Buur,Defender,180cm,Denmark,31/03/1998,
JesÃºs Vallejo,Defender,184cm,Spain,05/01/1997,
Marcin Bulka,Goalkeeper,199cm,Poland,04/10/1999,
Robert Huth,Defender,191cm,Germany,18/08/1984,
Beram Kayal,Midfielder,178cm,Israel,02/05/1988,
Rui PatrÃ­cio,Goalkeeper,190cm,Portugal,15/02/1988,
Michael McGovern,Goalkeeper,191cm,Northern Ireland,12/07/1984,89
Stuart McKinstry,Midfielder,,Scotland,18/09/2002,
Rafa Mir,Forward,191cm,Spain,18/06/1997,
Ethan Pinnock,Defender,187cm,Jamaica,29/05/1993,79
Craig Cathcart,Defender,188cm,Northern Ireland,06/02/1989,73
Reece Oxford,Defender,193cm,England,16/12/1998,
Aleksandar Mitrovic,Forward,189cm,Serbia,16/09/1994,
Kieran Trippier,Defender,178cm,England,19/09/1990,71
Isaiah Brown,Midfielder,182cm,England,07/01/1997,
Kamal Sowah,Midfielder,179cm,Ghana,09/01/2000,
Jordan Pickford,Goalkeeper,185cm,England,07/03/1994,77
Louie Barry,Forward,,England,21/06/2003,
Matthew Longstaff,Midfielder,,England,21/03/2000,
Sofiane Boufal,Midfielder,170cm,Morocco,17/09/1993,
Jordan Williams,Defender,179cm,England,22/10/1999,
Adam Federici,Goalkeeper,188cm,Australia,31/01/1985,
Kepa Arrizabalaga,Goalkeeper,189cm,Spain,03/10/1994,84
Jannik Vestergaard,Defender,199cm,Denmark,03/08/1992,98
Yanic-Sonny Wildschut,Forward,187cm,Suriname,01/11/1991,
Aaron Pressley,Forward,189cm,Scotland,07/11/2001,
Malachi Boateng,Midfielder,,England,05/07/2002,
Leighton Baines,Defender,170cm,England,11/12/1984,
Jack Wells-Morrison,Midfielder,,England,18/02/2004,
Joselu,Forward,192cm,Spain,27/03/1990,
Marc Cucurella,Defender,172cm,Spain,22/07/1998,66
Ryan Bennett,Defender,188cm,England,06/03/1990,
Jordan Rhodes,Forward,185cm,Scotland,05/02/1990,
Markus Suttner,Defender,179cm,Austria,16/04/1987,
Jordi Osei-Tutu,Defender,176cm,England,02/10/1998,
Tony Gallacher,Defender,173cm,Scotland,23/07/1999,
Mark McGuinness,Defender,194cm,Ireland,05/01/2001,
Jeong Sang-Bin,Forward,173cm,South Korea,01/04/2002,
Andrew Surman,Midfielder,178cm,England,20/08/1986,
Mark Helm,Midfielder,,England,21/10/2001,
Kallum Cesay,Defender,,England,04/09/2002,
Wesley Moraes,Forward,191cm,Brazil,26/11/1996,
Lewis Baker,Midfielder,182cm,England,25/04/1995,
Sergio Romero,Goalkeeper,192cm,Argentina,22/02/1987,
Adam Forshaw,Midfielder,174cm,England,08/10/1991,71
Luciano Vietto,Forward,174cm,Argentina,05/12/1993,
Levi Lumeka,Forward,170cm,England,05/09/1998,
Jermain Defoe,Forward,171cm,England,07/10/1982,
Luke Matheson,Defender,,England,02/10/2002,
Caolan Lavery,Forward,180cm,Northern Ireland,22/10/1992,
Rachid Ghezzal,Midfielder,182cm,Algeria,09/05/1992,
Reda Khadra,Midfielder,,Germany,04/07/2001,
Kyle Scott,Midfielder,172cm,United States,22/12/1997,
Richard Stearman,Defender,191cm,England,19/08/1987,
Sam Woods,Defender,,England,11/09/1998,
Toti,Defender,187cm,Portugal,16/01/1999,72
Anthony Mancini,Midfielder,180cm,France,06/04/2001,
JosÃ© SÃ¡,Goalkeeper,192cm,Portugal,17/01/1993,84
Ezri Konsa,Defender,183cm,England,23/10/1997,77
Dynel Simeu,Defender,186cm,England,13/03/2002,
DeAndre Yedlin,Defender,172cm,United States,09/07/1993,
Daniel Atherton,Goalkeeper,,England,18/12/1999,
Diego Cavalieri,Goalkeeper,189cm,Brazil,01/12/1982,
Borja BastÃ³n,Forward,186cm,Spain,25/08/1992,
Jason David Ian Puncheon,Midfielder,173cm,England,18/06/1986,
Mamadou Dialla Sylla,Midfielder,179cm,Spain,26/01/2003,
Marouane Fellaini,Midfielder,194cm,Belgium,22/11/1987,
Vitalii Mykolenko,Defender,180cm,Ukraine,29/05/1999,71
Phil Foden,Midfielder,171cm,England,28/05/2000,70
TrincÃ£o,Forward,184cm,Portugal,29/12/1999,70
Bryan Gil,Forward,175cm,Spain,11/02/2001,
Matheus Pereira,Midfielder,175cm,Brazil,05/05/1996,
Jonathan Leko,Forward,182cm,England,24/04/1999,
Paul Gladon,Forward,188cm,Netherlands,18/03/1992,
Bertrand TraorÃ©,Forward,181cm,Burkina Faso,06/09/1995,73
Fabian Delph,Midfielder,174cm,England,21/11/1989,60
Douglas Luiz,Midfielder,175cm,Brazil,09/05/1998,66
ÃdÃ¡m BogdÃ¡n,Goalkeeper,193cm,Hungary,27/09/1987,
Omari Hutchinson,Midfielder,,England,29/10/2003,
Joel Mumbongo,Forward,188cm,Sweden,09/01/1999,
Callum Paterson,Forward,183cm,Scotland,13/10/1994,
Brian Murphy,Goalkeeper,183cm,Ireland,07/05/1983,
Jake Cain,Midfielder,,England,02/09/2001,
Erik Pieters,Defender,183cm,Netherlands,07/08/1988,84
Lys Mousset,Forward,184cm,France,08/02/1996,
Andre Green,Forward,180cm,England,26/07/1998,
Harrison Reed,Midfielder,181cm,England,27/01/1995,
Dan Gosling,Midfielder,183cm,England,01/02/1990,79
Ryan Fraser,Midfielder,163cm,Scotland,24/02/1994,70
Maduka Okoye,Goalkeeper,197cm,Nigeria,28/08/1999,
Ryan Fredericks,Defender,181cm,England,10/10/1992,74
Rayhaan Tulloch,Forward,178cm,England,20/01/2001,
Jarrod Bowen,Forward,175cm,England,20/12/1996,70
Lewis Grabban,Forward,183cm,England,12/01/1988,
Luke Daniels,Goalkeeper,185cm,England,05/01/1988,
Demetri Mitchell,Defender,181cm,England,11/01/1997,
Luka Racic,Defender,,Denmark,08/05/1999,
Harvey Elliott,Midfielder,170cm,England,04/04/2003,
Nathan Patterson,Defender,183cm,Scotland,16/10/2001,72
Daniel Amartey,Defender,186cm,Ghana,21/12/1994,79
SÃ©bastien Haller,Forward,190cm,Cote Dâ€™Ivoire,22/06/1994,
Albian Ajeti,Forward,183cm,Switzerland,26/02/1997,
Nathan Harker,Goalkeeper,,England,05/11/1998,
Valentino Livramento,Defender,,England,12/11/2002,
Rodri,Midfielder,191cm,Spain,22/06/1996,82
Lucas Piazon,Midfielder,182cm,Brazil,20/01/1994,
Victor Wanyama,Midfielder,188cm,Kenya,25/06/1991,
Winston Reid,Defender,190cm,New Zealand,03/07/1988,
Tyrese Francois,Midfielder,166cm,Australia,16/07/2000,
Karl Hein,Goalkeeper,193cm,Estonia,13/04/2002,
Sylvester Jasper,Forward,,Bulgaria,13/09/2001,
Stuart Armstrong,Midfielder,183cm,Scotland,30/03/1992,75
Vontae Daley-Campbell,Defender,,England,02/04/2001,
VÃ­ctor Camarasa,Midfielder,183cm,Spain,28/05/1994,
Daniel Lafferty,Defender,180cm,Northern Ireland,18/05/1989,
Didier Ndong,Midfielder,179cm,Gabon,17/06/1994,
Jamie Cumming,Goalkeeper,186cm,England,04/09/1999,
Sergi CanÃ³s,Forward,177cm,Spain,02/02/1997,75
Kacper Kozlowski,Midfielder,177cm,Poland,16/10/2003,
Kamarai Simon-Swyer,Forward,,England,04/12/2002,
Marco van Ginkel,Midfielder,180cm,Netherlands,01/12/1992,
Peter Crouch,Forward,201cm,England,30/01/1981,
Bali Mumba,Defender,,England,01/10/2001,
Morgan Gibbs-White,Midfielder,171cm,England,27/01/2000,
Alex Gilbert,Forward,,Ireland,28/12/2001,
Niall Ennis,Forward,180cm,England,20/05/1999,
Alan Hutton,Defender,185cm,Scotland,30/11/1984,
Laurent Koscielny,Defender,186cm,France,10/09/1985,
RaÃºl JimÃ©nez,Forward,190cm,Mexico,05/05/1991,76
Florin Andone,Forward,180cm,Romania,11/04/1993,
Eric Dier,Defender,188cm,England,15/01/1994,88
James Ward-Prowse,Midfielder,173cm,England,01/11/1994,66
Sam Graham,Defender,,England,13/08/2000,
Derek Agyakwa,Defender,,Netherlands,19/12/2001,
Romaine Sawyers,Midfielder,175cm,St. Kitts & Nevis,02/11/1991,
Gabriel Martinelli,Midfielder,178cm,Brazil,18/06/2001,75
Ulrick Eneme-Ella,Forward,184cm,Gabon,22/05/2001,
Oliver Ewing,Midfielder,,Wales,03/01/2003,
Ayoze PÃ©rez,Forward,178cm,Spain,29/07/1993,72
Ahmed El Mohamady,Defender,183cm,Egypt,09/09/1987,
Christian Pulisic,Midfielder,172cm,United States,18/09/1998,69
Micah Hamilton,Midfielder,,England,13/11/2003,
JÃ³hann Gudmundsson,Midfielder,186cm,Iceland,27/10/1990,78
James McCarthy,Midfielder,180cm,Ireland,12/11/1990,
Adam Armstrong,Forward,172cm,England,10/02/1997,69
David Parkhouse,Forward,,Northern Ireland,24/10/1999,
Sam Field,Midfielder,191cm,England,08/05/1998,
Yasser Larouci,Defender,176cm,France,01/01/2001,
Callum Rowe,Defender,,England,02/09/1999,
Henrik Dalsgaard,Defender,192cm,Denmark,27/07/1989,
Archie Davies,Defender,,England,07/10/1998,
Pedro Obiang,Midfielder,185cm,Equatorial Guinea,27/03/1992,
John Stones,Defender,188cm,England,28/05/1994,70
Sebastian Soto,Forward,183cm,United States,28/07/2000,
Stuart Dallas,Midfielder,183cm,Northern Ireland,19/04/1991,81
Aaron Mooy,Midfielder,174cm,Australia,15/09/1990,
Ki-Jana Hoever,Midfielder,180cm,Netherlands,18/01/2002,65
Gareth Bale,Forward,185cm,Wales,16/07/1989,
Philip Zinckernagel,Forward,175cm,Denmark,16/12/1994,
Erik Lamela,Midfielder,181cm,Argentina,04/03/1992,
Josh Martin,Midfielder,,England,09/09/2001,
Kamil Grabara,Goalkeeper,195cm,Poland,08/01/1999,
Leon Bailey,Forward,178cm,Jamaica,09/08/1997,77
Samuel Edozie,Forward,,England,28/01/2003,
Jack Butland,Goalkeeper,196cm,England,10/03/1993,95
Emiliano MartÃ­nez,Goalkeeper,195cm,Argentina,02/09/1992,88
AdriÃ¡n,Goalkeeper,190cm,Spain,03/01/1987,80
Kadeem Harris,Midfielder,175cm,England,08/06/1993,
Yerson Mosquera,Defender,187cm,Colombia,02/05/2001,76
Lewis Gordon,Defender,,England,12/02/2001,
Guido Carrillo,Forward,191cm,Argentina,25/05/1991,
Marc Pugh,Midfielder,180cm,England,02/04/1987,
Alex KrÃ¡l,Midfielder,185cm,Czech Republic,19/05/1998,72
Edinson Cavani,Forward,184cm,Uruguay,14/02/1987,71
Chris Basham,Defender,190cm,England,20/07/1988,
George Thomas,Midfielder,173cm,Wales,24/03/1997,
Albert Sambi Lokonga,Midfielder,173cm,Belgium,22/10/1999,67
Jack Colback,Midfielder,177cm,England,24/10/1989,
Davy Klaassen,Midfielder,179cm,Netherlands,21/02/1993,
Jonathan Walters,Forward,183cm,Ireland,20/09/1983,
Mohammed Salisu,Defender,191cm,Ghana,17/04/1999,82
Daniel Oyegoke,Defender,,England,03/01/2003,
Ashley Young,Defender,175cm,England,09/07/1985,65
Malang Sarr,Defender,182cm,France,23/01/1999,73
Kiernan Dewsbury-Hall,Midfielder,,England,06/09/1998,
SaÃ¯d Benrahma,Forward,172cm,Algeria,10/08/1995,67
Jeremy Ngakia,Defender,,England,07/09/2000,
Jonathan Bond,Goalkeeper,196cm,England,19/05/1993,
MarÃ§al,Defender,178cm,Brazil,19/02/1989,74
Charlie Austin,Forward,188cm,England,05/07/1989,
Henri Lansbury,Midfielder,183cm,England,12/10/1990,
Mateo Kovacic,Midfielder,178cm,Croatia,06/05/1994,78
Hannibal Mejbri,Midfielder,177cm,Tunisia,21/01/2003,
Bukayo Saka,Midfielder,178cm,England,05/09/2001,65
Christoph Klarer,Midfielder,191cm,Austria,14/06/2000,
Bendeguz Bolla,Defender,,Hungary,22/11/1999,
Ciaran Clark,Defender,185cm,Ireland,26/09/1989,88
Allan,Midfielder,175cm,Brazil,03/03/1997,
